合约,交易日,开始时间,结束时间,最高价,开盘价,最低价,收盘价,成交量,成交额,持仓量,昨收价
T2012,2020/04/01,2020/04/01 09:15:00,2020/04/01 09:16:00,101.21,101.2,101.2,101.21,8.0,8096250.0,270.0,101.09
T2012,2020/04/01,2020/04/01 09:16:00,2020/04/01 09:17:00,101.295,101.21,101.21,101.295,2.0,2025850.0,269.0,101.21
T2012,2020/04/01,2020/04/01 09:17:00,2020/04/01 09:18:00,101.295,101.295,101.295,101.295,0.0,0.0,269.0,101.295
T2012,2020/04/01,2020/04/01 09:18:00,2020/04/01 09:19:00,101.295,101.295,101.295,101.295,0.0,0.0,269.0,101.295
T2012,2020/04/01,2020/04/01 09:19:00,2020/04/01 09:20:00,101.295,101.295,101.295,101.295,0.0,0.0,269.0,101.295
T2012,2020/04/01,2020/04/01 09:20:00,2020/04/01 09:21:00,101.295,101.295,101.235,101.235,5.0,5061750.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:21:00,2020/04/01 09:22:00,101.235,101.235,101.235,101.235,0.0,0.0,264.0,101.235
T2012,2020/04/01,2020/04/01 09:22:00,2020/04/01 09:23:00,101.24,101.235,101.235,101.24,2.0,2024800.0,264.0,101.235
T2012,2020/04/01,2020/04/01 09:23:00,2020/04/01 09:24:00,101.24,101.24,101.24,101.24,0.0,0.0,264.0,101.24
T2012,2020/04/01,2020/04/01 09:24:00,2020/04/01 09:25:00,101.24,101.24,101.24,101.24,0.0,0.0,264.0,101.24
T2012,2020/04/01,2020/04/01 09:25:00,2020/04/01 09:26:00,101.24,101.24,101.24,101.24,0.0,0.0,264.0,101.24
T2012,2020/04/01,2020/04/01 09:26:00,2020/04/01 09:27:00,101.24,101.24,101.24,101.24,3.0,3037200.0,262.0,101.24
T2012,2020/04/01,2020/04/01 09:27:00,2020/04/01 09:28:00,101.24,101.24,101.24,101.24,0.0,0.0,262.0,101.24
T2012,2020/04/01,2020/04/01 09:28:00,2020/04/01 09:29:00,101.24,101.24,101.24,101.24,0.0,0.0,262.0,101.24
T2012,2020/04/01,2020/04/01 09:29:00,2020/04/01 09:30:00,101.24,101.24,101.24,101.24,0.0,0.0,262.0,101.24
T2012,2020/04/01,2020/04/01 09:30:00,2020/04/01 09:31:00,101.24,101.24,101.24,101.24,1.0,1012400.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:31:00,2020/04/01 09:32:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:32:00,2020/04/01 09:33:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:33:00,2020/04/01 09:34:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:34:00,2020/04/01 09:35:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:35:00,2020/04/01 09:36:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:36:00,2020/04/01 09:37:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:37:00,2020/04/01 09:38:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:38:00,2020/04/01 09:39:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:39:00,2020/04/01 09:40:00,101.24,101.24,101.24,101.24,0.0,0.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:40:00,2020/04/01 09:41:00,101.315,101.24,101.24,101.315,1.0,1013150.0,263.0,101.24
T2012,2020/04/01,2020/04/01 09:41:00,2020/04/01 09:42:00,101.315,101.315,101.315,101.315,0.0,0.0,263.0,101.315
T2012,2020/04/01,2020/04/01 09:42:00,2020/04/01 09:43:00,101.315,101.315,101.315,101.315,0.0,0.0,263.0,101.315
T2012,2020/04/01,2020/04/01 09:43:00,2020/04/01 09:44:00,101.315,101.315,101.315,101.315,0.0,0.0,263.0,101.315
T2012,2020/04/01,2020/04/01 09:44:00,2020/04/01 09:45:00,101.315,101.315,101.315,101.315,0.0,0.0,263.0,101.315
T2012,2020/04/01,2020/04/01 09:45:00,2020/04/01 09:46:00,101.315,101.315,101.315,101.315,0.0,0.0,263.0,101.315
T2012,2020/04/01,2020/04/01 09:46:00,2020/04/01 09:47:00,101.315,101.315,101.315,101.315,0.0,0.0,263.0,101.315
T2012,2020/04/01,2020/04/01 09:47:00,2020/04/01 09:48:00,101.315,101.315,101.295,101.295,1.0,1012950.0,264.0,101.315
T2012,2020/04/01,2020/04/01 09:48:00,2020/04/01 09:49:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:49:00,2020/04/01 09:50:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:50:00,2020/04/01 09:51:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:51:00,2020/04/01 09:52:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:52:00,2020/04/01 09:53:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:53:00,2020/04/01 09:54:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:54:00,2020/04/01 09:55:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:55:00,2020/04/01 09:56:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:56:00,2020/04/01 09:57:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:57:00,2020/04/01 09:58:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:58:00,2020/04/01 09:59:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 09:59:00,2020/04/01 10:00:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 10:00:00,2020/04/01 10:01:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 10:01:00,2020/04/01 10:02:00,101.295,101.295,101.295,101.295,0.0,0.0,264.0,101.295
T2012,2020/04/01,2020/04/01 10:02:00,2020/04/01 10:03:00,101.305,101.295,101.295,101.305,1.0,1013050.0,264.0,101.295
T2012,2020/04/01,2020/04/01 10:03:00,2020/04/01 10:04:00,101.305,101.305,101.305,101.305,0.0,0.0,264.0,101.305
T2012,2020/04/01,2020/04/01 10:04:00,2020/04/01 10:05:00,101.305,101.305,101.305,101.305,0.0,0.0,264.0,101.305
T2012,2020/04/01,2020/04/01 10:05:00,2020/04/01 10:06:00,101.305,101.305,101.305,101.305,0.0,0.0,264.0,101.305
T2012,2020/04/01,2020/04/01 10:06:00,2020/04/01 10:07:00,101.305,101.305,101.305,101.305,0.0,0.0,264.0,101.305
T2012,2020/04/01,2020/04/01 10:07:00,2020/04/01 10:08:00,101.305,101.305,101.305,101.305,0.0,0.0,264.0,101.305
T2012,2020/04/01,2020/04/01 10:08:00,2020/04/01 10:09:00,101.305,101.305,101.305,101.305,0.0,0.0,264.0,101.305
T2012,2020/04/01,2020/04/01 10:09:00,2020/04/01 10:10:00,101.335,101.305,101.305,101.335,1.0,1013350.0,264.0,101.305
T2012,2020/04/01,2020/04/01 10:10:00,2020/04/01 10:11:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:11:00,2020/04/01 10:12:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:12:00,2020/04/01 10:13:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:13:00,2020/04/01 10:14:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:14:00,2020/04/01 10:15:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:15:00,2020/04/01 10:16:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:16:00,2020/04/01 10:17:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:17:00,2020/04/01 10:18:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:18:00,2020/04/01 10:19:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:19:00,2020/04/01 10:20:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:20:00,2020/04/01 10:21:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:21:00,2020/04/01 10:22:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:22:00,2020/04/01 10:23:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:23:00,2020/04/01 10:24:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:24:00,2020/04/01 10:25:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:25:00,2020/04/01 10:26:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:26:00,2020/04/01 10:27:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:27:00,2020/04/01 10:28:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:28:00,2020/04/01 10:29:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:29:00,2020/04/01 10:30:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:30:00,2020/04/01 10:31:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:31:00,2020/04/01 10:32:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:32:00,2020/04/01 10:33:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:33:00,2020/04/01 10:34:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:34:00,2020/04/01 10:35:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:35:00,2020/04/01 10:36:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:36:00,2020/04/01 10:37:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:37:00,2020/04/01 10:38:00,101.335,101.335,101.335,101.335,0.0,0.0,264.0,101.335
T2012,2020/04/01,2020/04/01 10:38:00,2020/04/01 10:39:00,101.335,101.335,101.2,101.225,2.0,2024250.0,263.0,101.335
T2012,2020/04/01,2020/04/01 10:39:00,2020/04/01 10:40:00,101.225,101.225,101.225,101.225,0.0,0.0,263.0,101.225
T2012,2020/04/01,2020/04/01 10:40:00,2020/04/01 10:41:00,101.225,101.225,101.225,101.225,1.0,1012250.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:41:00,2020/04/01 10:42:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:42:00,2020/04/01 10:43:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:43:00,2020/04/01 10:44:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:44:00,2020/04/01 10:45:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:45:00,2020/04/01 10:46:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:46:00,2020/04/01 10:47:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:47:00,2020/04/01 10:48:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:48:00,2020/04/01 10:49:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:49:00,2020/04/01 10:50:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:50:00,2020/04/01 10:51:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:51:00,2020/04/01 10:52:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:52:00,2020/04/01 10:53:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:53:00,2020/04/01 10:54:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:54:00,2020/04/01 10:55:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:55:00,2020/04/01 10:56:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:56:00,2020/04/01 10:57:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:57:00,2020/04/01 10:58:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:58:00,2020/04/01 10:59:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 10:59:00,2020/04/01 11:00:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:00:00,2020/04/01 11:01:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:01:00,2020/04/01 11:02:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:02:00,2020/04/01 11:03:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:03:00,2020/04/01 11:04:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:04:00,2020/04/01 11:05:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:05:00,2020/04/01 11:06:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:06:00,2020/04/01 11:07:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:07:00,2020/04/01 11:08:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:08:00,2020/04/01 11:09:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:09:00,2020/04/01 11:10:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:10:00,2020/04/01 11:11:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:11:00,2020/04/01 11:12:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:12:00,2020/04/01 11:13:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:13:00,2020/04/01 11:14:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:14:00,2020/04/01 11:15:00,101.225,101.225,101.225,101.225,0.0,0.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:15:00,2020/04/01 11:16:00,101.225,101.225,101.185,101.185,6.0,6071100.0,262.0,101.225
T2012,2020/04/01,2020/04/01 11:16:00,2020/04/01 11:17:00,101.185,101.185,101.185,101.185,0.0,0.0,262.0,101.185
T2012,2020/04/01,2020/04/01 11:17:00,2020/04/01 11:18:00,101.215,101.185,101.185,101.215,5.0,5060750.0,262.0,101.185
T2012,2020/04/01,2020/04/01 11:18:00,2020/04/01 11:19:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:19:00,2020/04/01 11:20:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:20:00,2020/04/01 11:21:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:21:00,2020/04/01 11:22:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:22:00,2020/04/01 11:23:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:23:00,2020/04/01 11:24:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:24:00,2020/04/01 11:25:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:25:00,2020/04/01 11:26:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:26:00,2020/04/01 11:27:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:27:00,2020/04/01 11:28:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:28:00,2020/04/01 11:29:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 11:29:00,2020/04/01 11:30:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:00:00,2020/04/01 13:01:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:01:00,2020/04/01 13:02:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:02:00,2020/04/01 13:03:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:03:00,2020/04/01 13:04:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:04:00,2020/04/01 13:05:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:05:00,2020/04/01 13:06:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:06:00,2020/04/01 13:07:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:07:00,2020/04/01 13:08:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:08:00,2020/04/01 13:09:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:09:00,2020/04/01 13:10:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:10:00,2020/04/01 13:11:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:11:00,2020/04/01 13:12:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:12:00,2020/04/01 13:13:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:13:00,2020/04/01 13:14:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:14:00,2020/04/01 13:15:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:15:00,2020/04/01 13:16:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:16:00,2020/04/01 13:17:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:17:00,2020/04/01 13:18:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:18:00,2020/04/01 13:19:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:19:00,2020/04/01 13:20:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:20:00,2020/04/01 13:21:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:21:00,2020/04/01 13:22:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:22:00,2020/04/01 13:23:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:23:00,2020/04/01 13:24:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:24:00,2020/04/01 13:25:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:25:00,2020/04/01 13:26:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:26:00,2020/04/01 13:27:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:27:00,2020/04/01 13:28:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:28:00,2020/04/01 13:29:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:29:00,2020/04/01 13:30:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:30:00,2020/04/01 13:31:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:31:00,2020/04/01 13:32:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:32:00,2020/04/01 13:33:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:33:00,2020/04/01 13:34:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:34:00,2020/04/01 13:35:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:35:00,2020/04/01 13:36:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:36:00,2020/04/01 13:37:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:37:00,2020/04/01 13:38:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:38:00,2020/04/01 13:39:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:39:00,2020/04/01 13:40:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:40:00,2020/04/01 13:41:00,101.215,101.215,101.215,101.215,0.0,0.0,262.0,101.215
T2012,2020/04/01,2020/04/01 13:41:00,2020/04/01 13:42:00,101.27,101.215,101.215,101.27,1.0,1012700.0,261.0,101.215
T2012,2020/04/01,2020/04/01 13:42:00,2020/04/01 13:43:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:43:00,2020/04/01 13:44:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:44:00,2020/04/01 13:45:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:45:00,2020/04/01 13:46:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:46:00,2020/04/01 13:47:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:47:00,2020/04/01 13:48:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:48:00,2020/04/01 13:49:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:49:00,2020/04/01 13:50:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:50:00,2020/04/01 13:51:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:51:00,2020/04/01 13:52:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:52:00,2020/04/01 13:53:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:53:00,2020/04/01 13:54:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:54:00,2020/04/01 13:55:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:55:00,2020/04/01 13:56:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:56:00,2020/04/01 13:57:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:57:00,2020/04/01 13:58:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:58:00,2020/04/01 13:59:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 13:59:00,2020/04/01 14:00:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 14:00:00,2020/04/01 14:01:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 14:01:00,2020/04/01 14:02:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 14:02:00,2020/04/01 14:03:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 14:03:00,2020/04/01 14:04:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 14:04:00,2020/04/01 14:05:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
T2012,2020/04/01,2020/04/01 14:05:00,2020/04/01 14:06:00,101.27,101.27,101.27,101.27,0.0,0.0,261.0,101.27
