InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
T1609,20160503,98.31,98.175,98.11,98.285,5240.0,5147998050.0,20992.0
T1609,20160504,98.44,98.28,98.23,98.39,7443.0,7321112700.0,21616.0
T1609,20160505,98.43,98.38,98.305,98.405,3810.0,3748256200.0,21828.0
T1609,20160506,98.535,98.4,98.31,98.465,6549.0,6445397050.0,22400.0
T1609,20160509,99.485,98.585,98.555,99.17,9749.0,9648272950.0,23835.0
T1609,20160510,99.59,99.285,99.03,99.24,16980.0,16863207400.0,23566.0
T1609,20160511,99.3,99.26,99.085,99.195,13393.0,13287352950.0,24931.0
T1609,20160512,99.51,99.285,99.285,99.49,14406.0,14325927150.0,26589.0
T1609,20160513,99.665,99.52,99.24,99.37,16985.0,16886181700.0,27448.0
T1609,20160516,99.43,99.35,98.965,98.99,16362.0,16224251000.0,28972.0
T1609,20160517,99.16,99.005,98.935,99.01,13276.0,13148118950.0,29652.0
T1609,20160518,98.965,98.935,98.74,98.795,16862.0,16662118600.0,30211.0
T1609,20160519,98.925,98.7,98.615,98.845,16645.0,16444375350.0,30239.0
T1609,20160520,99.145,98.895,98.895,99.095,14451.0,14310104800.0,29870.0
T1609,20160523,99.18,99.09,98.93,99.075,12110.0,11994427550.0,29694.0
T1609,20160524,99.3,99.105,99.05,99.29,13864.0,13752269500.0,30696.0
T1609,20160525,99.32,99.305,99.185,99.27,12053.0,11962636300.0,31197.0
T1609,20160526,99.26,99.26,99.065,99.14,11141.0,11047091850.0,31401.0
T1609,20160527,99.155,99.08,98.99,99.07,9716.0,9626055800.0,31342.0
T1609,20160530,99.205,99.12,98.9,98.93,11375.0,11265594300.0,31759.0
T1609,20160531,99.15,98.95,98.875,99.145,13465.0,13332480450.0,32307.0
